epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.141,3.58661,2.80531,2.15276,0.7289,0.65269,0.72274,0.41362,3.1578,1.93821,2.04953,0.000666018,0.000666018,0.000666018
2,3569.17,3.28882,1.89951,2.05037,0.76433,0.68438,0.76286,0.44906,3.04344,1.75661,2.03365,0.00126672,0.00126672,0.00126672
3,4937.65,3.22987,1.80063,2.03976,0.79331,0.71754,0.79573,0.4764,2.99839,1.67416,2.0188,0.00180142,0.00180142,0.00180142
4,5869.98,3.17917,1.70978,2.02119,0.80282,0.73459,0.80769,0.48174,2.98854,1.57719,2.02308,0.001703,0.001703,0.001703
5,6351.43,3.13203,1.64812,2.01082,0.82709,0.7361,0.82193,0.50153,2.92929,1.52517,2.00343,0.001604,0.001604,0.001604
6,8401.71,3.10519,1.60392,2.00197,0.83391,0.75368,0.832,0.50955,2.91472,1.47568,1.99608,0.001505,0.001505,0.001505
7,8741.18,3.08554,1.57428,1.99605,0.82534,0.75694,0.8337,0.50894,2.90974,1.47901,1.99224,0.001406,0.001406,0.001406
8,9206.04,3.05343,1.53826,1.98767,0.84356,0.76147,0.84158,0.51785,2.88679,1.43704,1.99096,0.001307,0.001307,0.001307
9,11867.9,3.04004,1.51523,1.98116,0.85486,0.76148,0.84701,0.52519,2.85903,1.40956,1.98084,0.001208,0.001208,0.001208
10,12265.5,3.02486,1.49679,1.97867,0.85155,0.77335,0.85408,0.5298,2.85468,1.39547,1.97746,0.001109,0.001109,0.001109
11,12522.5,2.97772,1.49113,2.0142,0.85187,0.77476,0.85758,0.53279,2.85649,1.3816,1.98264,0.00101,0.00101,0.00101
12,12732.2,2.96177,1.45767,2.00615,0.85288,0.76958,0.85541,0.53275,2.85632,1.37763,1.97834,0.000911,0.000911,0.000911
13,13009.8,2.93993,1.43545,1.99993,0.86358,0.78178,0.86369,0.53902,2.83336,1.34952,1.97482,0.000812,0.000812,0.000812
14,13215.4,2.92894,1.41674,1.99565,0.86718,0.78144,0.86611,0.54112,2.82566,1.33584,1.97259,0.000713,0.000713,0.000713
15,13462.1,2.91242,1.39867,1.99117,0.86496,0.78555,0.86572,0.54089,2.81895,1.33187,1.96957,0.000614,0.000614,0.000614
16,13646.4,2.8961,1.38315,1.98382,0.87031,0.79108,0.87001,0.54647,2.80557,1.30829,1.96803,0.000515,0.000515,0.000515
17,13908.4,2.88496,1.36745,1.97571,0.8718,0.7915,0.87125,0.54687,2.7974,1.30452,1.95981,0.000416,0.000416,0.000416
18,14132.3,2.86924,1.35467,1.97273,0.87298,0.7946,0.87535,0.54852,2.79662,1.29289,1.95968,0.000317,0.000317,0.000317
19,14381.6,2.85668,1.34128,1.96998,0.87446,0.79297,0.87518,0.55074,2.78768,1.28591,1.95741,0.000218,0.000218,0.000218
20,14565.2,2.84689,1.32756,1.96403,0.8757,0.79884,0.87926,0.55368,2.78079,1.27274,1.95423,0.000119,0.000119,0.000119
